block,deltaEV,chose_hi_var,delta_count
Observe,-110,0,5
Observe,-90,0,6
Observe,-80,0,7
Observe,-70,1,7
Observe,-60,3,7
Observe,-50,2,5
Observe,-40,2,4
Observe,-30,3,4
Observe,-20,3,5
Observe,-10,7,9
Observe,0,6,7
Observe,10,9,9
Observe,20,6,6
Observe,30,5,5
Observe,40,5,5
Observe,50,4,4
Observe,60,6,6
Observe,70,5,6
Observe,80,7,7
Observe,90,7,7
Observe,110,5,5
Guess,-110,1,6
Guess,-90,0,4
Guess,-80,3,6
Guess,-70,1,8
Guess,-60,1,6
Guess,-50,2,5
Guess,-40,4,6
Guess,-30,5,5
Guess,-20,7,7
Guess,-10,6,8
Guess,0,4,5
Guess,10,6,6
Guess,20,6,6
Guess,30,7,7
Guess,40,6,7
Guess,50,3,5
Guess,60,6,6
Guess,70,5,5
Guess,80,4,5
Guess,90,9,9
Guess,110,4,4
Intervene,-110,0,7
Intervene,-90,1,6
Intervene,-80,0,9
Intervene,-70,0,5
Intervene,-60,0,6
Intervene,-50,1,4
Intervene,-40,1,3
Intervene,-30,5,7
Intervene,-20,5,5
Intervene,-10,7,7
Intervene,0,8,8
Intervene,10,6,6
Intervene,20,5,5
Intervene,30,6,6
Intervene,40,7,7
Intervene,50,6,6
Intervene,60,4,4
Intervene,70,4,4
Intervene,80,7,7
Intervene,90,5,5
Intervene,110,9,9
Observe-Repeat,-110,1,5
Observe-Repeat,-90,4,9
Observe-Repeat,-80,1,5
Observe-Repeat,-70,3,4
Observe-Repeat,-60,3,6
Observe-Repeat,-50,5,10
Observe-Repeat,-40,2,7
Observe-Repeat,-30,2,3
Observe-Repeat,-20,3,6
Observe-Repeat,-10,3,5
Observe-Repeat,0,4,5
Observe-Repeat,10,2,5
Observe-Repeat,20,2,7
Observe-Repeat,30,6,8
Observe-Repeat,40,4,5
Observe-Repeat,50,3,5
Observe-Repeat,60,3,5
Observe-Repeat,70,4,6
Observe-Repeat,80,8,8
Observe-Repeat,90,5,6
Observe-Repeat,110,3,6